,Length(km),Width(km),Depth(km),Strike(deg),Dip(deg),Rake(deg),Slip(m),Lat(deg),Lon(deg),number
0,5.0,5.0,0.017051224881768023,67.982,67.957,-160.676,0.244,37.84164093499575,26.22842991858149,1
1,5.0,5.0,0.017051224881768023,48.12,39.396,132.902,0.257,37.83720094750488,26.284952504633264,2
2,5.0,5.0,0.017051224881768023,65.701,38.356,108.737,0.343,37.83272996010083,26.34145310140562,3
3,5.0,5.0,0.017051224881768023,66.467,45.419,81.406,0.433,37.828232972769435,26.397954707106184,4
4,5.0,5.0,0.017051224881768023,53.336,48.741,61.972,0.424,37.82370098553613,26.454455324941268,5
5,5.0,5.0,0.017051224881768023,51.111,50.294,56.381,0.382,37.819153998344504,26.51093794776535,6
6,5.0,5.0,0.017051224881768023,60.004,48.873,63.548,0.288,37.81457201125088,26.56741958271046,7
7,5.0,5.0,0.017051224881768023,76.558,39.25,67.03,0.26,37.809960024241214,26.623902227984694,8
8,5.0,5.0,0.017051224881768023,70.917,44.247,48.273,0.288,37.805333037273186,26.680362878231563,9
9,5.0,5.0,0.017051224881768023,71.695,41.532,50.709,0.262,37.80067205040035,26.736823540221597,10
10,5.0,5.0,0.017051224881768023,80.844,37.008,63.837,0.28,37.79598306360576,26.793275211807774,11
11,5.0,5.0,0.017051224881768023,94.268,31.227,66.856,0.289,37.79127207687252,26.84971789084503,12
12,5.0,5.0,0.017051224881768023,118.991,25.9,72.975,0.323,37.78652309024569,26.906159583028487,13
13,5.0,5.0,0.017051224881768023,168.616,24.592,98.859,0.259,37.781751103683014,26.962592283005694,14
14,5.0,5.0,0.017051224881768023,57.61,54.97,76.435,0.329,37.77695211719571,27.01901299219539,15
15,5.0,5.0,0.017051224881768023,73.269,57.163,88.874,0.361,37.77213413076131,27.075424707742577,16
16,5.0,5.0,0.017051224881768023,71.044,58.428,79.605,0.285,37.76728214442197,27.131836434981658,17
17,5.0,5.0,0.017051224881768023,81.327,53.244,87.913,0.264,37.762403158158016,27.188238171412987,18
18,5.0,5.0,0.017051224881768023,113.628,19.106,54.436,0.291,37.757501171958154,27.24463091560662,19
19,5.0,5.0,0.017051224881768023,183.588,10.172,104.954,0.306,37.75256118586458,27.301021672891927,20
20,5.0,5.0,0.017051224881768023,159.159,11.646,73.415,0.278,37.747613199792895,27.357402432591254,21
21,5.0,5.0,0.017051224881768023,64.685,80.346,-165.886,0.268,37.868622858965914,26.231791272581113,22
22,5.0,5.0,0.017051224881768023,40.891,29.916,118.089,0.384,37.86418287147829,26.288322860758743,23
23,5.0,5.0,0.017051224881768023,47.842,30.482,95.774,0.431,37.8596998841113,26.34485446396225,24
24,5.0,5.0,0.017051224881768023,50.87,43.489,72.094,0.467,37.855202896783226,26.401374071813983,25
25,5.0,5.0,0.017051224881768023,35.225,51.58,46.743,0.476,37.85068190952224,26.457886687884866,26
26,5.0,5.0,0.017051224881768023,33.414,51.841,38.078,0.402,37.84612392236494,26.514397316814602,27
27,5.0,5.0,0.017051224881768023,36.359,53.168,30.852,0.229,37.841541935274684,26.570900953949966,28
28,5.0,5.0,0.017051224881768023,56.998,28.499,29.148,0.298,37.83692994826839,26.62739260142826,29
29,5.0,5.0,0.017051224881768023,49.545,31.581,18.697,0.329,37.83230296130377,26.683883253885814,30
30,5.0,5.0,0.017051224881768023,48.083,34.174,18.934,0.294,37.827629974468145,26.740365922386346,31
31,5.0,5.0,0.017051224881768023,78.865,27.622,56.616,0.258,37.822941987674184,26.7968365958538,32
32,5.0,5.0,0.017051224881768023,136.383,20.529,85.57,0.251,37.818231000944415,26.853297277139287,33
33,5.0,5.0,0.017051224881768023,175.575,20.869,104.925,0.34,37.81348101432389,26.909748971945294,34
34,5.0,5.0,0.017051224881768023,209.599,27.616,136.49,0.306,37.808713027753434,26.966200672771915,35
35,5.0,5.0,0.017051224881768023,40.513,56.045,74.822,0.329,37.80391004128096,27.022654385676717,36
36,5.0,5.0,0.017051224881768023,86.268,58.42,106.981,0.447,37.799081054881064,27.079085107442342,37
37,5.0,5.0,0.017051224881768023,72.104,62.328,90.542,0.362,37.79423206853686,27.135517835923718,38
38,5.0,5.0,0.017051224881768023,66.155,56.696,92.364,0.223,37.789353082276506,27.191938574679124,39
39,5.0,5.0,0.017051224881768023,169.665,9.164,84.466,0.359,37.78445209607742,27.248350320850943,40
40,5.0,5.0,0.017051224881768023,182.446,5.058,105.323,0.497,37.779512109987536,27.30476208048826,41
41,5.0,5.0,0.017051224881768023,192.308,7.8,101.474,0.4,37.77455212395325,27.361163846815625,42
42,5.0,5.0,0.017051224881768023,65.961,60.137,-172.45,0.229,37.89559978293046,26.235140615442116,43
43,5.0,5.0,0.017051224881768023,54.745,28.163,144.056,0.399,37.89115179546862,26.291693208613367,44
44,5.0,5.0,0.017051224881768023,359.056,23.057,52.323,0.356,37.88668180806827,26.348243809310098,45
45,5.0,5.0,0.017051224881768023,249.441,77.738,145.961,0.295,37.88217982075758,26.404784421106935,46
46,5.0,5.0,0.017051224881768023,128.552,75.564,-74.897,0.399,37.87765183351958,26.4613280418489,47
47,5.0,5.0,0.017051224881768023,131.163,69.337,-71.521,0.463,37.87309384636562,26.517847672961064,48
48,5.0,5.0,0.017051224881768023,123.345,70.863,-82.012,0.508,37.86851185927871,26.57437031228982,49
49,5.0,5.0,0.017051224881768023,116.103,75.447,-87.841,0.503,37.863899872275816,26.63089196197532,50
50,5.0,5.0,0.017051224881768023,113.572,71.91,-98.668,0.481,37.85926188534557,26.687393620579996,51
51,5.0,5.0,0.017051224881768023,107.167,65.204,-95.086,0.566,37.854603898471076,26.743896285952605,52
52,5.0,5.0,0.017051224881768023,105.108,60.502,-84.693,0.491,37.849911911691834,26.800396963091938,53
53,5.0,5.0,0.017051224881768023,114.771,59.691,-58.627,0.465,37.845192924988076,26.85687964948836,54
54,5.0,5.0,0.017051224881768023,123.901,63.334,-40.768,0.516,37.840443938368196,26.913350346206897,55
55,5.0,5.0,0.017051224881768023,134.173,73.364,-35.761,0.365,37.835670951815345,26.96982305109715,56
56,5.0,5.0,0.017051224881768023,153.051,79.438,-26.743,0.159,37.83087296533231,27.026293764510203,57
57,5.0,5.0,0.017051224881768023,90.553,67.034,138.201,0.212,37.82604297893878,27.08274548893866,58
58,5.0,5.0,0.017051224881768023,152.218,28.709,-16.827,0.182,37.82118299262911,27.1391962236606,59
59,5.0,5.0,0.017051224881768023,148.524,49.626,-23.812,0.175,37.81630000638361,27.195638966170733,60
60,5.0,5.0,0.017051224881768023,147.922,79.597,-57.573,0.358,37.81139102021067,27.252080717533357,61
61,5.0,5.0,0.017051224881768023,266.574,9.465,-168.732,0.468,37.8064620340934,27.308501475602004,62
62,5.0,5.0,0.017051224881768023,254.833,11.836,175.634,0.378,37.80150304805997,27.36492524393701,63
63,5.0,5.0,0.017051224881768023,73.286,63.89,-161.761,0.179,37.92258170686127,26.238500943566212,64
64,5.0,5.0,0.017051224881768023,65.04,62.212,-154.152,0.39,37.918133719402654,26.29507253887326,65
65,5.0,5.0,0.017051224881768023,65.545,65.994,-131.388,0.663,37.91366273200837,26.351644142074385,66
66,5.0,5.0,0.017051224881768023,88.809,57.307,-102.521,0.65,37.90914974473196,26.408205759974884,67
67,5.0,5.0,0.017051224881768023,112.165,59.071,-72.356,0.918,37.9046217574973,26.464766382888538,68
68,5.0,5.0,0.017051224881768023,112.619,58.895,-72.167,1.106,37.90006377034665,26.52131001618626,69
69,5.0,5.0,0.017051224881768023,109.847,61.941,-77.06,1.109,37.89548178326308,26.577850657711544,70
70,5.0,5.0,0.017051224881768023,106.942,62.892,-83.378,1.05,37.89086979626352,26.634392309607417,71
71,5.0,5.0,0.017051224881768023,105.329,57.949,-90.298,1.133,37.88623080933948,26.690913970792433,72
72,5.0,5.0,0.017051224881768023,101.467,54.511,-94.227,1.412,37.881561822499414,26.747436642333913,73
73,5.0,5.0,0.017051224881768023,99.118,52.438,-92.421,1.413,37.876869835723575,26.803956321719294,74
74,5.0,5.0,0.017051224881768023,101.49,50.632,-82.458,1.286,37.87215084902326,26.860459010374125,75
75,5.0,5.0,0.017051224881768023,104.341,47.202,-72.637,0.996,37.86740186240686,26.91696070936486,76
76,5.0,5.0,0.017051224881768023,110.182,46.738,-61.105,0.692,37.86262187587722,26.973452419041635,77
77,5.0,5.0,0.017051224881768023,89.216,38.398,-92.743,0.449,37.85782288940051,27.029934135106117,78
78,5.0,5.0,0.017051224881768023,77.5,33.723,-127.044,0.454,37.85298990301897,27.08641686291546,79
79,5.0,5.0,0.017051224881768023,86.999,39.591,-104.045,0.458,37.84814191667905,27.142887595670906,80
80,5.0,5.0,0.017051224881768023,110.485,43.729,-73.374,0.476,37.84325093045965,27.199348343372748,81
81,5.0,5.0,0.017051224881768023,124.116,59.054,-54.498,0.646,37.83834194429031,27.255802097079904,82
82,5.0,5.0,0.017051224881768023,129.11,65.086,-52.511,0.613,37.83341295817667,27.312253857502025,83
83,5.0,5.0,0.017051224881768023,159.141,82.467,-69.634,0.391,37.82844297217786,27.36868463213148,84
84,5.0,5.0,0.017051224881768023,66.016,66.09,-141.345,0.237,37.94956263077532,26.241861259082683,85
85,5.0,5.0,0.017051224881768023,67.253,61.825,-128.404,0.539,37.94511064333121,26.29845185796491,86
86,5.0,5.0,0.017051224881768023,77.302,55.577,-109.583,1.049,37.94063265595991,26.355044465828186,87
87,5.0,5.0,0.017051224881768023,89.035,53.294,-94.452,1.234,37.93613166865294,26.411626081589546,88
88,5.0,5.0,0.017051224881768023,102.774,54.144,-76.211,1.397,37.93159168145538,26.468206710985264,89
89,5.0,5.0,0.017051224881768023,107.12,56.513,-72.482,1.566,37.92703269431087,26.52477934683045,90
90,5.0,5.0,0.017051224881768023,106.342,58.884,-76.178,1.703,37.9224517072278,26.581340990196633,91
91,5.0,5.0,0.017051224881768023,101.764,58.381,-85.053,1.726,37.91783172025415,26.63789164717495,92
92,5.0,5.0,0.017051224881768023,102.939,55.178,-89.866,1.798,37.91319373333066,26.69444431022673,93
93,5.0,5.0,0.017051224881768023,103.119,52.852,-91.477,2.002,37.908531746474296,26.75098598149829,94
94,5.0,5.0,0.017051224881768023,103.428,51.129,-88.911,1.993,37.903831759724405,26.807517666000848,95
95,5.0,5.0,0.017051224881768023,104.633,49.395,-82.662,1.8,37.899113773024695,26.864049356559377,96
96,5.0,5.0,0.017051224881768023,99.842,45.927,-82.134,1.494,37.894360786423036,26.92056205925876,97
97,5.0,5.0,0.017051224881768023,91.951,42.971,-87.949,1.101,37.88958079989686,26.97707277122534,98
98,5.0,5.0,0.017051224881768023,73.078,41.68,-109.882,0.813,37.88478181342367,27.033585489588155,99
99,5.0,5.0,0.017051224881768023,70.379,41.846,-117.035,0.742,37.87995182703719,27.090076218637694,100
100,5.0,5.0,0.017051224881768023,81.224,42.798,-107.448,0.791,37.87509284073181,27.14656795765038,101
101,5.0,5.0,0.017051224881768023,103.102,44.065,-78.299,0.855,37.87020185451599,27.203050707692103,102
102,5.0,5.0,0.017051224881768023,115.416,54.63,-60.998,0.915,37.86529286835025,27.259530463747158,103
103,5.0,5.0,0.017051224881768023,122.54,59.947,-54.772,0.808,37.860352882271194,27.315994230459605,104
104,5.0,5.0,0.017051224881768023,126.033,62.997,-52.874,0.459,37.85539289624784,27.372455003888884,105
105,5.0,5.0,0.017051224881768023,63.972,57.313,-133.044,0.299,37.976540554678294,26.245221562693683,106
106,5.0,5.0,0.017051224881768023,71.506,55.818,-118.649,0.721,37.972092567226134,26.301843162281138,107
107,5.0,5.0,0.017051224881768023,80.316,53.369,-103.881,1.282,37.96760957987218,26.35845477409778,108
108,5.0,5.0,0.017051224881768023,89.65,51.099,-90.378,1.556,37.96310059259102,26.41505739490052,109
109,5.0,5.0,0.017051224881768023,100.011,52.545,-77.081,1.775,37.9585726053629,26.4716480221678,110
110,5.0,5.0,0.017051224881768023,105.076,55.621,-72.152,1.914,37.95401061823015,26.52824066128396,111
111,5.0,5.0,0.017051224881768023,105.631,57.685,-74.644,2.194,37.94942163117298,26.584821309726554,112
112,5.0,5.0,0.017051224881768023,102.114,55.418,-81.83,2.217,37.94480164420266,26.641402968925423,113
113,5.0,5.0,0.017051224881768023,102.607,54.174,-86.815,2.306,37.940163657282554,26.69796563420587,114
114,5.0,5.0,0.017051224881768023,103.692,52.017,-88.548,2.432,37.93549067046055,26.75452531166527,115
115,5.0,5.0,0.017051224881768023,103.368,50.402,-87.455,2.432,37.93079068371411,26.811087998424235,116
116,5.0,5.0,0.017051224881768023,101.608,48.48,-86.278,2.205,37.92607169702062,26.86762869160601,117
117,5.0,5.0,0.017051224881768023,95.66,45.349,-89.017,1.844,37.92132271041114,26.924172395151327,118
118,5.0,5.0,0.017051224881768023,83.355,43.125,-97.758,1.474,37.91654272388845,26.980704109411253,119
119,5.0,5.0,0.017051224881768023,71.244,44.563,-107.276,1.133,37.911732737449746,27.03723583401948,120
120,5.0,5.0,0.017051224881768023,73.515,43.154,-108.965,1.051,37.906902751066774,27.093746565384222,121
121,5.0,5.0,0.017051224881768023,81.404,41.827,-103.42,1.135,37.90204276476777,27.15025930708375,122
122,5.0,5.0,0.017051224881768023,97.256,43.679,-83.03,1.025,37.897152778552694,27.20676005911038,123
123,5.0,5.0,0.017051224881768023,110.343,51.512,-66.336,1.084,37.89224279239332,27.263261817874834,124
124,5.0,5.0,0.017051224881768023,116.256,54.97,-60.532,0.881,37.88730280631788,27.31974358695267,125
125,5.0,5.0,0.017051224881768023,119.956,59.752,-57.982,0.553,37.88233282032633,27.3762253663361,126
126,5.0,5.0,0.017051224881768023,67.914,54.982,-124.459,0.352,38.00352147855337,26.248591852224052,127
127,5.0,5.0,0.017051224881768023,73.153,54.108,-114.257,0.82,37.999062491135454,26.305222457917118,128
128,5.0,5.0,0.017051224881768023,81.305,52.188,-101.257,1.323,37.994579503784706,26.361856071894177,129
129,5.0,5.0,0.017051224881768023,90.871,51.032,-87.668,1.67,37.99007051650681,26.418476694869344,130
130,5.0,5.0,0.017051224881768023,98.377,52.261,-78.228,1.894,37.98554252928195,26.47509832431768,131
131,5.0,5.0,0.017051224881768023,103.114,54.792,-73.839,2.07,37.98098054215248,26.53170996563074,132
132,5.0,5.0,0.017051224881768023,104.166,56.264,-75.554,2.305,37.97639155509863,26.58831161628271,133
133,5.0,5.0,0.017051224881768023,103.021,55.774,-80.013,2.389,37.971771568131665,26.64491227770532,134
134,5.0,5.0,0.017051224881768023,102.415,53.94,-84.978,2.496,37.96712158124874,26.701495949531516,135
135,5.0,5.0,0.017051224881768023,102.396,51.867,-87.777,2.603,37.96245259441883,26.758076627800428,136
136,5.0,5.0,0.017051224881768023,101.98,50.111,-87.728,2.581,37.95775260767578,26.8146483168193,137
137,5.0,5.0,0.017051224881768023,99.777,48.061,-87.769,2.354,37.953030620994184,26.871220013347262,138
138,5.0,5.0,0.017051224881768023,92.768,45.259,-91.809,1.946,37.94828063439095,26.927782719533795,139
139,5.0,5.0,0.017051224881768023,80.791,44.049,-100.188,1.556,37.94350164786892,26.984333435730942,140
140,5.0,5.0,0.017051224881768023,73.23,44.401,-106.059,1.312,37.938690661436524,27.040886163008352,141
141,5.0,5.0,0.017051224881768023,75.153,43.358,-106.049,1.202,37.93384967508806,27.097417900640092,142
142,5.0,5.0,0.017051224881768023,82.925,42.28,-99.67,1.201,37.928989688792576,27.153949644671595,143
143,5.0,5.0,0.017051224881768023,95.99,44.258,-83.883,1.129,37.92410370256976,27.2104693976091,144
144,5.0,5.0,0.017051224881768023,107.222,49.595,-70.157,1.09,37.91918971642526,27.26699216016319,145
145,5.0,5.0,0.017051224881768023,112.99,53.235,-63.75,0.881,37.91424273037315,27.32350493411938,146
146,5.0,5.0,0.017051224881768023,116.262,56.399,-59.948,0.521,37.909271744388015,27.380005716242927,147
